Currency_From,Currency_To,Exchange_Rate,date
DKK,KRW,197.1413598,27/04/2024
DKK,MXN,2.457969941,27/04/2024
DKK,MYR,0.68333087,27/04/2024
DKK,NOK,1.581919075,27/04/2024
DKK,NZD,0.241351863,27/04/2024
DKK,PHP,8.272015676,27/04/2024
DKK,PLN,0.578597014,27/04/2024
DKK,RON,0.667021753,27/04/2024
DKK,RUB,13.20939159,27/04/2024
DKK,SEK,1.568904684,27/04/2024
DKK,SGD,0.195234729,27/04/2024
DKK,THB,5.305055814,27/04/2024
DKK,TRY,4.660571285,27/04/2024
DKK,USD,0.143376761,27/04/2024
DKK,ZAR,2.690042419,27/04/2024
COP,USD,0.742716117,27/04/2024
USD,COP,1.346409452,27/04/2024
MXN,AUD,0.089297763,27/04/2024
MXN,BGN,0.106157285,27/04/2024
MXN,BRL,0.29846884,27/04/2024
MXN,CAD,0.079723833,27/04/2024
MXN,CHF,0.053299715,27/04/2024
MXN,CNY,0.422586956,27/04/2024
MXN,CZK,1.370726806,27/04/2024
MXN,DKK,0.4068398,27/04/2024
MXN,GBP,0.046687272,27/04/2024
MXN,HKD,0.456546908,27/04/2024
MXN,HRK,0.395232443,27/04/2024
MXN,HUF,21.38022151,27/04/2024
MXN,IDR,944.1942679,27/04/2024
MXN,ILS,0.222271151,27/04/2024
MXN,INR,4.862270991,27/04/2024
MXN,ISK,8.170408219,27/04/2024
MXN,JPY,9.236004614,27/04/2024
MXN,KRW,80.20495148,27/04/2024
MXN,MXN,1.0,27/04/2024
MXN,MYR,0.278006195,27/04/2024
MXN,NOK,0.643587641,27/04/2024
MXN,NZD,0.098191544,27/04/2024
MXN,PHP,3.365385206,27/04/2024
MXN,PLN,0.235396294,27/04/2024
MXN,RON,0.271370997,27/04/2024
MXN,RUB,5.374106237,27/04/2024
MXN,SEK,0.638292868,27/04/2024
MXN,SGD,0.079429258,27/04/2024
MXN,THB,2.158307848,27/04/2024
MXN,TRY,1.896105891,27/04/2024
MXN,USD,0.058331373,27/04/2024
MXN,ZAR,1.094416321,27/04/2024
BRL,AUD,0.299186217,27/04/2024
BRL,BGN,0.355672923,27/04/2024
BRL,BRL,1.0,27/04/2024
BRL,CAD,0.267109399,27/04/2024
BRL,CHF,0.178577152,27/04/2024
BRL,CNY,1.415849491,27/04/2024
BRL,CZK,4.592529006,27/04/2024
BRL,DKK,1.363089695,27/04/2024
BRL,GBP,0.156422601,27/04/2024
BRL,HKD,1.529630054,27/04/2024
BRL,HRK,1.324200014,27/04/2024
BRL,HUF,71.63301029,27/04/2024
BRL,IDR,3163.460102,27/04/2024
BRL,ILS,0.744704708,27/04/2024
BRL,INR,16.29071559,27/04/2024
BRL,ISK,27.37440938,27/04/2024
BRL,JPY,30.94461923,27/04/2024
BRL,KRW,268.721356,27/04/2024
BRL,MXN,3.350433496,27/04/2024
BRL,MYR,0.931441266,27/04/2024
BRL,NOK,2.156297589,27/04/2024
BRL,NZD,0.328984238,27/04/2024
BRL,PHP,11.27549932,27/04/2024
BRL,PLN,0.788679627,27/04/2024
BRL,RON,0.909210477,27/04/2024
BRL,RUB,18.00558555,27/04/2024
BRL,SEK,2.138557807,27/04/2024
BRL,SGD,0.266122447,27/04/2024
BRL,THB,7.23126691,27/04/2024
BRL,TRY,6.35277669,27/04/2024
BRL,USD,0.195435385,27/04/2024
BRL,ZAR,3.666769099,27/04/2024
SEK,AUD,0.139900926,27/04/2024
SEK,BGN,0.166314383,27/04/2024
SEK,BRL,0.467604849,27/04/2024
SEK,CAD,0.12490165,27/04/2024
SEK,CHF,0.083503542,27/04/2024
SEK,CNY,0.662058088,27/04/2024
SEK,CZK,2.147488832,27/04/2024
SEK,DKK,0.637387351,27/04/2024
SEK,GBP,0.073143967,27/04/2024
SEK,HKD,0.71526243,27/04/2024
SEK,HRK,0.619202348,27/04/2024
SEK,HUF,33.49594295,27/04/2024
SEK,IDR,1479.249283,27/04/2024
SEK,ILS,0.348227532,27/04/2024
SEK,INR,7.617617604,27/04/2024
SEK,ISK,12.80040656,27/04/2024
SEK,JPY,14.469854,27/04/2024
SEK,KRW,125.6554091,27/04/2024
SEK,MXN,1.566678949,27/04/2024
SEK,MYR,0.435546453,27/04/2024
SEK,NOK,1.008295208,27/04/2024
SEK,NZD,0.153834625,27/04/2024
SEK,PHP,5.272478157,27/04/2024
SEK,PLN,0.368790418,27/04/2024
SEK,RON,0.425151228,27/04/2024
SEK,RUB,8.419499109,27/04/2024
SEK,SEK,1.0,27/04/2024
SEK,SGD,0.124440146,27/04/2024
SEK,THB,3.381375471,27/04/2024
SEK,TRY,2.970589184,27/04/2024
SEK,USD,0.091386534,27/04/2024
SEK,ZAR,1.71459901,27/04/2024
PHP,AUD,0.026534188,27/04/2024
PHP,BGN,0.031543873,27/04/2024
PHP,BRL,0.088687868,27/04/2024
PHP,CAD,0.023689363,27/04/2024
PHP,CHF,0.015837627,27/04/2024
PHP,CNY,0.125568673,27/04/2024
PHP,CZK,0.407301608,27/04/2024
PHP,DKK,0.12088952,27/04/2024
PHP,GBP,0.013872787,27/04/2024
PHP,HKD,0.135659629,27/04/2024
PHP,HRK,0.117440477,27/04/2024
PHP,HUF,6.35297899,27/04/2024
PHP,IDR,280.5605332,27/04/2024
PHP,ILS,0.066046273,27/04/2024
PHP,INR,1.444788841,27/04/2024
PHP,ISK,2.427778016,27/04/2024
PHP,JPY,2.744412318,27/04/2024
PHP,KRW,23.83232426,27/04/2024
PHP,MXN,0.297142805,27/04/2024
PHP,MYR,0.08260754,27/04/2024
PHP,NOK,0.191237437,27/04/2024
PHP,NZD,0.029176911,27/04/2024
PHP,PHP,1.0,27/04/2024
PHP,PLN,0.069946315,27/04/2024
PHP,RON,0.080635939,27/04/2024
PHP,RUB,1.596877002,27/04/2024
PHP,SEK,0.189664133,27/04/2024
PHP,SGD,0.023601833,27/04/2024
PHP,THB,0.641325648,27/04/2024
PHP,TRY,0.563414223,27/04/2024
PHP,USD,0.017332748,27/04/2024
PHP,ZAR,0.325197935,27/04/2024
PEN,USD,1.275260508,27/04/2024
USD,PEN,0.784153507,27/04/2024
MYR,AUD,0.321207819,27/04/2024
MYR,BGN,0.381852228,27/04/2024
MYR,BRL,1.073604999,27/04/2024
MYR,CAD,0.286769986,27/04/2024
MYR,CHF,0.191721323,27/04/2024
MYR,CNY,1.520063092,27/04/2024
MYR,CZK,4.9305621,27/04/2024
MYR,DKK,1.463419911,27/04/2024
MYR,GBP,0.167936087,27/04/2024
MYR,HKD,1.642218473,27/04/2024
MYR,HRK,1.421667755,27/04/2024
MYR,HUF,76.90555795,27/04/2024
MYR,IDR,3396.30658,27/04/2024
MYR,ILS,0.799518697,27/04/2024
MYR,INR,17.4897937,27/04/2024
MYR,ISK,29.38930276,27/04/2024
MYR,JPY,33.2222979,27/04/2024
MYR,KRW,288.5005912,27/04/2024
MYR,MXN,3.597042151,27/04/2024
MYR,MYR,1.0,27/04/2024
MYR,NOK,2.315011871,27/04/2024
MYR,NZD,0.353199122,27/04/2024
MYR,PHP,12.10543244,27/04/2024
MYR,PLN,0.846730391,27/04/2024
MYR,RON,0.976132914,27/04/2024
MYR,RUB,19.33088666,27/04/2024
MYR,SEK,2.295966352,27/04/2024
MYR,SGD,0.285710389,27/04/2024
MYR,THB,7.763524305,27/04/2024
MYR,TRY,6.820372814,27/04/2024
MYR,USD,0.209820407,27/04/2024
MYR,ZAR,3.936661636,27/04/2024
VND,USD,0.097699812,27/04/2024
USD,VND,10.23543422,27/04/2024
CLP,USD,1.0834,27/04/2024
USD,CLP,0.923020122,27/04/2024
CHF,AUD,1.67538912,27/04/2024
CHF,BGN,1.991704532,27/04/2024
CHF,BRL,5.599820522,27/04/2024
CHF,CAD,1.495764696,27/04/2024
CHF,CHF,1.0,27/04/2024
CHF,CNY,7.928503039,27/04/2024
CHF,CZK,25.71733818,27/04/2024
CHF,DKK,7.633057646,27/04/2024
CHF,GBP,0.875938493,27/04/2024
CHF,HKD,8.565653767,27/04/2024
CHF,HRK,7.415282415,27/04/2024
CHF,HUF,401.1320011,27/04/2024
CHF,IDR,17714.8088,27/04/2024
CHF,ILS,4.170212706,27/04/2024
CHF,INR,91.22508351,27/04/2024
CHF,ISK,153.2917794,27/04/2024
CHF,JPY,173.2843138,27/04/2024
CHF,KRW,1504.791364,27/04/2024
CHF,MXN,18.76182625,27/04/2024
CHF,MYR,5.215903918,27/04/2024
CHF,NOK,12.07487949,27/04/2024
CHF,NZD,1.842252686,27/04/2024
CHF,PHP,63.1407725,27/04/2024
CHF,PLN,4.416464362,27/04/2024
CHF,RON,5.09141549,27/04/2024
CHF,RUB,100.8280475,27/04/2024
CHF,SEK,11.97553989,27/04/2024
CHF,SGD,1.490237938,27/04/2024
CHF,THB,40.49379684,27/04/2024
CHF,TRY,35.57440928,27/04/2024
CHF,USD,1.094403082,27/04/2024
CHF,ZAR,20.53324885,27/04/2024
NZD,AUD,0.90942417,27/04/2024
NZD,BGN,1.08112451,27/04/2024
NZD,BRL,3.039659306,27/04/2024
NZD,CAD,0.811921571,27/04/2024
NZD,CHF,0.542813702,27/04/2024
NZD,CNY,4.303700083,27/04/2024
NZD,CZK,13.95972353,27/04/2024
NZD,DKK,4.143328276,27/04/2024
NZD,GBP,0.475471416,27/04/2024
NZD,HKD,4.649554229,27/04/2024
NZD,HRK,4.025116897,27/04/2024
NZD,HUF,217.7399464,27/04/2024
NZD,IDR,9615.84094,27/04/2024
NZD,ILS,2.263648596,27/04/2024
NZD,INR,49.51822527,27/04/2024
NZD,ISK,83.20887822,27/04/2024
NZD,JPY,94.06109982,27/04/2024
NZD,KRW,816.8213706,27/04/2024
NZD,MXN,10.18417636,27/04/2024
NZD,MYR,2.831264114,27/04/2024
NZD,NOK,6.554410033,27/04/2024
NZD,NZD,1.0,27/04/2024
NZD,PHP,34.27367645,27/04/2024
NZD,PLN,2.397317369,27/04/2024
NZD,RON,2.763690089,27/04/2024
NZD,RUB,54.73084568,27/04/2024
NZD,SEK,6.500487139,27/04/2024
NZD,SGD,0.808921572,27/04/2024
NZD,THB,21.98058776,27/04/2024
NZD,TRY,19.31027679,27/04/2024
NZD,USD,0.594056988,27/04/2024
NZD,ZAR,11.14572882,27/04/2024
THB,AUD,0.04137397,27/04/2024
THB,BGN,0.049185423,27/04/2024
THB,BRL,0.138288354,27/04/2024
THB,CAD,0.036938119,27/04/2024
THB,CHF,0.02469514,27/04/2024
THB,CNY,0.195795496,27/04/2024
THB,CZK,0.635093278,27/04/2024
THB,DKK,0.188499431,27/04/2024
THB,GBP,0.021631424,27/04/2024
THB,HKD,0.211530023,27/04/2024
THB,HRK,0.183121441,27/04/2024
THB,HUF,9.906011102,27/04/2024
THB,IDR,437.4696912,27/04/2024
THB,ILS,0.102983988,27/04/2024
THB,INR,2.252816249,27/04/2024
THB,ISK,3.785562021,27/04/2024
THB,JPY,4.279280466,27/04/2024
THB,KRW,37.16103407,27/04/2024
THB,MXN,0.463325934,27/04/2024
THB,MYR,0.12880748,27/04/2024
THB,NOK,0.298190845,27/04/2024
THB,NZD,0.045494689,27/04/2024
THB,PHP,1.559270244,27/04/2024
THB,PLN,0.109065208,27/04/2024
THB,RON,0.125733221,27/04/2024
THB,RUB,2.489962792,27/04/2024
THB,SEK,0.29573764,27/04/2024
THB,SGD,0.036801635,27/04/2024
THB,THB,1.0,27/04/2024
THB,TRY,0.878515033,27/04/2024
THB,USD,0.027026438,27/04/2024
THB,ZAR,0.507071464,27/04/2024
ARS,USD,0.094778661,28/04/2024
USD,ARS,10.5508982,28/04/2024
HKD,AUD,0.195593858,28/04/2024
HKD,BGN,0.232524753,28/04/2024
HKD,BRL,0.653752907,28/04/2024
HKD,CAD,0.174623538,28/04/2024
HKD,CHF,0.116745327,28/04/2024
HKD,CNY,0.925615658,28/04/2024
HKD,CZK,3.002379124,28/04/2024
HKD,DKK,0.891123806,28/04/2024
HKD,GBP,0.10226172,28/04/2024
HKD,HKD,1.0,28/04/2024
HKD,HRK,0.865699613,28/04/2024
HKD,HUF,46.83028381,28/04/2024
HKD,IDR,2068.121247,28/04/2024
HKD,ILS,0.486852831,28/04/2024
HKD,INR,10.65010237,28/04/2024
HKD,ISK,17.89354264,28/04/2024
HKD,JPY,20.2301334,28/04/2024
HKD,KRW,175.6773481,28/04/2024
HKD,MXN,2.190355555,28/04/2024
HKD,MYR,0.608932427,28/04/2024
HKD,NOK,1.409685768,28/04/2024
HKD,NZD,0.21507441,28/04/2024
HKD,PHP,7.371390285,28/04/2024
HKD,PLN,0.515601582,28/04/2024
HKD,RON,0.594135793,28/04/2024
HKD,RUB,11.77120368,28/04/2024
HKD,SEK,1.398088351,28/04/2024
HKD,SGD,0.173978325,28/04/2024
HKD,THB,4.727461445,28/04/2024
HKD,TRY,4.153146026,28/04/2024
HKD,USD,0.127766447,28/04/2024
HKD,ZAR,2.397160896,28/04/2024
